,FlightDate,Tail_Number,CRSDepTime,Flight_Number_Reporting_Airline,IATA_CODE_Reporting_Airline,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,OriginAirportSeqID,DestAirportSeqID,DOT_ID_Reporting_Airline,ArrTime
20366,EV,,,,,,1086803,10868,30868,CAE,Columbia,SC,45,South Carolina,37,,1842,1900-1959,,,,,,,,,,,,
20452,YX,,,,,,1245102,12451,31136,JAX,Jacksonville,FL,12,Florida,33,,1449,1400-1459,,,,,,,,,,,,
20397,OH,,,,,,1099005,10990,30990,CHO,Charlottesville,VA,51,Virginia,38,,1722,1700-1759,,,,,,,,,,,,
19393,WN,,,,,,1129202,11292,30325,DEN,Denver,CO,8,Colorado,82,,1018,1000-1059,,,,,,,,,,,,
19393,WN,,,,,,1319801,13198,33198,MCI,Kansas City,MO,29,Missouri,64,,1009,1000-1059,,,,,,,,,,,,
19977,UA,,,,,,1129202,11292,30325,DEN,Denver,CO,8,Colorado,82,,2029,2000-2059,,,,,,,,,,,,
19930,AS,,,,,,1474702,14747,30559,SEA,Seattle,WA,53,Washington,93,,2233,2200-2259,,,,,,,,,,,,
19393,WN,,,,,,1323202,13232,30977,MDW,Chicago,IL,17,Illinois,41,,1047,1100-1159,,,,,,,,,,,,
20355,US,,,,,,1348702,13487,31650,MSP,Minneapolis,MN,27,Minnesota,63,,1936,1900-1959,,,,,,,,,,,,
19393,WN,,,,,,1348702,13487,31650,MSP,Minneapolis,MN,27,Minnesota,63,,2254,2000-2059,,,,,,,,,,,,
19790,DL,,,,,,1233902,12339,32337,IND,Indianapolis,IN,18,Indiana,42,,1619,1600-1659,,,,,,,,,,,,
19393,WN,,,,,,1410702,14107,30466,PHX,Phoenix,AZ,4,Arizona,81,,1025,0900-0959,,,,,,,,,,,,
